State,Year,Age,Type of Disorder,Sex,Type of Mental Disorder,Occupation,"New cases per 100,000","New Cases / 100,000",
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.16691086,64,
Uttarakhand,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,65.46544634,65,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.29530624,63,
Other Union Territories,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,62.50557145,62,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.50717818,64,
Assam,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,66.60410085,66,
Delhi,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.80853657,63,
Goa,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,62.22247033,62,
Haryana,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.62401631,63,
Karnataka,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.06347537,64,
Kerala,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,60.60253607,60,
Maharashtra,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.14214709,63,
Manipur,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.09559317,64,
Meghalaya,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.15868601,64,
Mizoram,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.51823232,63,
Nagaland,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.97304219,63,
Odisha,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,66.20371285,66,
Punjab,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.57401463,63,
Rajasthan,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.29087057,64,
Sikkim,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.25214148,63,
Tamil Nadu,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,51.56078948,51,
Tripura,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.88241958,63,
West Bengal,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.02355144,64,
Bihar,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,65.43923624,65,
Chhattisgarh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,65.84916,65,
Jharkhand,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,65.79195192,65,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,65.45019482,65,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,66.26481371,66,
Gujarat,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,64.33624487,64,
Telangana,2019,15-19 y,Mental Disorder,Female,Bipolar disorder,School Student,63.88664889,63,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Uttarakhand,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Other Union Territories,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Assam,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Delhi,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Goa,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Haryana,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Karnataka,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,239.9181951,239,
Kerala,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,254.6050862,254,
Maharashtra,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Manipur,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Meghalaya,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Mizoram,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Nagaland,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Odisha,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Punjab,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Rajasthan,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Sikkim,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Tamil Nadu,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Tripura,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
West Bengal,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Bihar,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Chhattisgarh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Jharkhand,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,296.6246982,296,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Gujarat,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Telangana,2019,15-19 y,Mental Disorder,Male,Conduct disorder,School Student,260.5302348,260,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Uttarakhand,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Other Union Territories,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Assam,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Delhi,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Goa,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Haryana,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Karnataka,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,152.8618951,152,
Kerala,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,143.6802925,143,
Maharashtra,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Manipur,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Meghalaya,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Mizoram,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Nagaland,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Odisha,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Punjab,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Rajasthan,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Sikkim,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Tamil Nadu,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Tripura,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
West Bengal,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Bihar,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Chhattisgarh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Jharkhand,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,145.2460668,145,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Gujarat,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Telangana,2019,15-19 y,Mental Disorder,Female,Conduct disorder,School Student,146.8799102,146,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1916.290892,1916,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2659.707799,2659,
Uttarakhand,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1864.201333,1864,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2158.344439,2158,
Other Union Territories,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2337.212801,2337,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2772.893671,2772,
Assam,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2037.072321,2037,
Delhi,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1825.288836,1825,
Goa,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2165.311541,2165,
Haryana,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2834.210934,2834,
Karnataka,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1987.846771,1987,
Kerala,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2201.106951,2201,
Maharashtra,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2514.973524,2514,
Manipur,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2379.247767,2379,
Meghalaya,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2688.784768,2688,
Mizoram,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1860.934119,1860,
Nagaland,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2048.027775,2048,
Odisha,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2656.573798,2656,
Punjab,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1523.97182,1523,
Rajasthan,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1969.725908,1969,
Sikkim,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1999.627909,1999,
Tamil Nadu,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,3028.337629,3028,
Tripura,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1890.636382,1890,
West Bengal,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1768.557201,1768,
Bihar,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1846.145744,1846,
Chhattisgarh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1270.114557,1270,
Jharkhand,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2255.655613,2255,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1585.833965,1585,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1800.421244,1800,
Gujarat,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,1802.638281,1802,
Telangana,2019,15-19 y,Mental Disorder,Male,Depressive disorders,School Student,2773.425242,2773,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2783.716869,2783,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3787.58807,3787,
Uttarakhand,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2736.202195,2736,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3035.231472,3035,
Other Union Territories,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3241.975342,3241,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3933.916797,3933,
Assam,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2929.700898,2929,
Delhi,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2673.18519,2673,
Goa,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2870.396081,2870,
Haryana,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,4594.577328,4594,
Karnataka,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2730.440731,2730,
Kerala,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2927.592381,2927,
Maharashtra,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3641.563314,3641,
Manipur,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3975.513683,3975,
Meghalaya,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3764.991407,3764,
Mizoram,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2707.021327,2707,
Nagaland,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3034.684981,3034,
Odisha,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3902.005206,3902,
Punjab,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2700.148477,2700,
Rajasthan,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2628.177828,2628,
Sikkim,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3050.031866,3050,
Tamil Nadu,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,4759.263066,4759,
Tripura,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2832.611815,2832,
West Bengal,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3320.130617,3320,
Bihar,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2818.755836,2818,
Chhattisgarh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2329.899722,2329,
Jharkhand,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2801.384066,2801,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2724.383735,2724,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2617.873664,2617,
Gujarat,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,2426.648331,2426,
Telangana,2019,15-19 y,Mental Disorder,Female,Depressive disorders,School Student,3881.737866,3881,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,707.9338745,707,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,747.8373647,747,
Uttarakhand,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,797.7719564,797,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,796.2891972,796,
Other Union Territories,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,839.3456535,839,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,747.9886401,747,
Assam,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,675.5543443,675,
Delhi,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,893.9895481,893,
Goa,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,930.4720434,930,
Haryana,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,815.2903584,815,
Karnataka,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,786.0187788,786,
Kerala,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,798.9279043,798,
Maharashtra,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,802.5468116,802,
Manipur,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,666.3244241,666,
Meghalaya,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,702.1534306,702,
Mizoram,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,756.3125823,756,
Nagaland,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,739.9651645,739,
Odisha,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,691.0591933,691,
Punjab,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,771.8057541,771,
Rajasthan,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,709.9302053,709,
Sikkim,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,880.6384647,880,
Tamil Nadu,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,787.0582976,787,
Tripura,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,712.8918742,712,
West Bengal,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,707.8623597,707,
Bihar,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,595.7833069,595,
Chhattisgarh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,708.9310315,708,
Jharkhand,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,668.5491802,668,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,680.2332619,680,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,648.7373003,648,
Gujarat,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,793.8445093,793,
Telangana,2019,15-19 y,Mental Disorder,Male,Eating disorders,School Student,795.2207918,795,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,338.8910771,338,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,357.0547576,357,
Uttarakhand,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,378.5796406,378,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,374.846687,374,
Other Union Territories,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,395.9468701,395,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,358.0860766,358,
Assam,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,326.1622736,326,
Delhi,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,423.6719509,423,
Goa,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,435.4121194,435,
Haryana,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,386.0829829,386,
Karnataka,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,374.5809706,374,
Kerala,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,378.8976885,378,
Maharashtra,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,379.2420136,379,
Manipur,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,320.9341648,320,
Meghalaya,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,337.705408,337,
Mizoram,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,358.4679175,358,
Nagaland,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,352.625905,352,
Odisha,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,330.5416251,330,
Punjab,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,368.336936,368,
Rajasthan,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,337.537849,337,
Sikkim,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,412.1524404,412,
Tamil Nadu,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,373.4229879,373,
Tripura,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,341.818931,341,
West Bengal,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,339.5645382,339,
Bihar,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,289.2360282,289,
Chhattisgarh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,337.8736196,337,
Jharkhand,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,320.9650239,320,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,325.2276013,325,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,311.9159521,311,
Gujarat,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,371.9571125,371,
Telangana,2019,15-19 y,Mental Disorder,Female,Eating disorders,School Student,375.056301,375,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Uttarakhand,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Other Union Territories,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Assam,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Delhi,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Goa,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Haryana,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Karnataka,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Kerala,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Maharashtra,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Manipur,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Meghalaya,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Mizoram,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Nagaland,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Odisha,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Punjab,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Rajasthan,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Sikkim,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Tamil Nadu,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Tripura,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
West Bengal,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Bihar,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Chhattisgarh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Jharkhand,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Gujarat,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Telangana,2019,15-19 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,School Student,0,0,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Uttarakhand,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Himachal Pradesh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Other Union Territories,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Andhra Pradesh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Assam,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Delhi,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Goa,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Haryana,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Karnataka,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Kerala,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Maharashtra,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Manipur,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Meghalaya,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Mizoram,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Nagaland,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Odisha,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Punjab,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Rajasthan,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Sikkim,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Tamil Nadu,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Tripura,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
West Bengal,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Bihar,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Chhattisgarh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Jharkhand,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Madhya Pradesh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Uttar Pradesh,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Gujarat,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Telangana,2019,15-19 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,School Student,0,0,
Jammu & Kashmir and Ladakh,2019,15-19 y,Mental Disorder,Male,Schizophrenia,School Student,25.80881146,25,
Arunachal Pradesh,2019,15-19 y,Mental Disorder,Male,Schizophrenia,School Student,25.87797087,25,
Uttarakhand,2019,15-19 y,Mental Disorder,Male,Schizophrenia,School Student,25.94600531,25,
